Species,Site,Point,Visit,Year,Distance,Status,Age,RestorationState,Observer,Temp,CloudCover,WindSpeed,PointCattail,JulianDay,TimeAfterSunrise,Area
RWBL,Big Wall Lake,BW3,A,Year1,54,Restored,10,6-11 years,1,20.7,0,5.0,45,5,362,350.1
RWBL,Big Wall Lake,BW3,A,Year1,100,Restored,10,6-11 years,1,20.7,0,5.0,45,5,362,350.1
RWBL,Big Wall Lake,BW3,A,Year1,175,Restored,10,6-11 years,1,20.7,0,5.0,45,5,362,350.1
RWBL,Big Wall Lake,BW3,B,Year1,100,Restored,10,6-11 years,1,16.5,0,0.0,55,28,-23,350.1
RWBL,Big Wall Lake,BW3,B,Year1,26,Restored,10,6-11 years,1,16.5,0,0.0,55,28,-23,350.1
RWBL,Big Wall Lake,BW3,B,Year1,59,Restored,10,6-11 years,1,16.5,0,0.0,55,28,-23,350.1
RWBL,Big Wall Lake,BW3,B,Year1,31,Restored,10,6-11 years,1,16.5,0,0.0,55,28,-23,350.1
RWBL,Big Wall Lake,BW3,B,Year1,37,Restored,10,6-11 years,1,16.5,0,0.0,55,28,-23,350.1
RWBL,Big Wall Lake,BW3,A,Year2,33,Restored,11,6-11 years,1,22.8,1,3.4,45,17,183,350.1
RWBL,Big Wall Lake,BW3,A,Year2,107,Restored,11,6-11 years,1,22.8,1,3.4,45,17,183,350.1
RWBL,Big Wall Lake,BW3,A,Year2,150,Restored,11,6-11 years,1,22.8,1,3.4,45,17,183,350.1
RWBL,Big Wall Lake,BW3,B,Year2,50,Restored,11,6-11 years,2,23.9,1,0.0,50,40,98,350.1
RWBL,Big Wall Lake,BW3,B,Year2,37,Restored,11,6-11 years,2,23.9,1,0.0,50,40,98,350.1
RWBL,Big Wall Lake,BW3,B,Year2,26,Restored,11,6-11 years,2,23.9,1,0.0,50,40,98,350.1
RWBL,Big Wall Lake,BW3,B,Year2,75,Restored,11,6-11 years,2,23.9,1,0.0,50,40,98,350.1
RWBL,Big Wall Lake,BW4,A,Year1,14,Restored,10,6-11 years,1,18.6,0,4.9,45,5,184,350.1
RWBL,Big Wall Lake,BW4,A,Year1,176,Restored,10,6-11 years,1,18.6,0,4.9,45,5,184,350.1
RWBL,Big Wall Lake,BW4,A,Year1,23,Restored,10,6-11 years,1,18.6,0,4.9,45,5,184,350.1
RWBL,Big Wall Lake,BW4,B,Year1,112,Restored,10,6-11 years,1,19.9,0,1.3,60,28,111,350.1
RWBL,Big Wall Lake,BW4,B,Year1,12,Restored,10,6-11 years,1,19.9,0,1.3,60,28,111,350.1
RWBL,Big Wall Lake,BW4,B,Year1,43,Restored,10,6-11 years,1,19.9,0,1.3,60,28,111,350.1
RWBL,Big Wall Lake,BW4,A,Year2,30,Restored,11,6-11 years,1,21.6,1,1.9,60,17,18,350.1
RWBL,Big Wall Lake,BW4,A,Year2,10,Restored,11,6-11 years,1,21.6,1,1.9,60,17,18,350.1
RWBL,Big Wall Lake,BW4,B,Year2,NA,Restored,11,6-11 years,2,27.2,1,0.0,70,40,198,350.1
RWBL,Big Wall Lake,BW5,A,Year1,135,Restored,10,6-11 years,1,19.3,0,3.2,55,5,269,350.1
RWBL,Big Wall Lake,BW5,A,Year1,16,Restored,10,6-11 years,1,19.3,0,3.2,55,5,269,350.1
RWBL,Big Wall Lake,BW5,A,Year1,25,Restored,10,6-11 years,1,19.3,0,3.2,55,5,269,350.1
RWBL,Big Wall Lake,BW5,B,Year1,53,Restored,10,6-11 years,1,19.0,0,0.0,55,28,70,350.1
RWBL,Big Wall Lake,BW5,B,Year1,175,Restored,10,6-11 years,1,19.0,0,0.0,55,28,70,350.1
RWBL,Big Wall Lake,BW5,A,Year2,16,Restored,11,6-11 years,1,21.2,1,2.4,50,17,97,350.1
RWBL,Big Wall Lake,BW5,B,Year2,40,Restored,11,6-11 years,2,28.2,1,1.3,50,40,276,350.1
RWBL,Big Wall Lake,BW5,B,Year2,40,Restored,11,6-11 years,2,28.2,1,1.3,50,40,276,350.1
RWBL,Burr Oak Lake,BURR1,A,Year1,39,Restored,7,6-11 years,2,26.9,0,2.5,70,17,189,42.2
RWBL,Burr Oak Lake,BURR1,A,Year1,30,Restored,7,6-11 years,2,26.9,0,2.5,70,17,189,42.2
RWBL,Burr Oak Lake,BURR1,B,Year1,NA,Restored,7,6-11 years,2,20.8,1,0.0,60,31,309,42.2
RWBL,Burr Oak Lake,BURR1,A,Year2,14,Restored,8,6-11 years,2,17.8,0,0.0,40,5,170,42.2
RWBL,Burr Oak Lake,BURR1,A,Year2,27,Restored,8,6-11 years,2,17.8,0,0.0,40,5,170,42.2
RWBL,Burr Oak Lake,BURR1,B,Year2,50,Restored,8,6-11 years,1,15.5,0,2.5,25,31,166,42.2
RWBL,Burr Oak Lake,BURR1,B,Year2,5,Restored,8,6-11 years,1,15.5,0,2.5,25,31,166,42.2
RWBL,Burr Oak Lake,BURR2,A,Year1,75,Restored,7,6-11 years,2,20.7,0,2.1,70,17,106,42.2
RWBL,Burr Oak Lake,BURR2,A,Year1,75,Restored,7,6-11 years,2,20.7,0,2.1,70,17,106,42.2
RWBL,Burr Oak Lake,BURR2,A,Year1,30,Restored,7,6-11 years,2,20.7,0,2.1,70,17,106,42.2
RWBL,Burr Oak Lake,BURR2,A,Year1,60,Restored,7,6-11 years,2,20.7,0,2.1,70,17,106,42.2
RWBL,Burr Oak Lake,BURR2,B,Year1,NA,Restored,7,6-11 years,2,18.2,1,2.3,50,31,277,42.2
RWBL,Burr Oak Lake,BURR2,A,Year2,5,Restored,8,6-11 years,2,17.0,0,0.0,40,5,75,42.2
RWBL,Burr Oak Lake,BURR2,A,Year2,47,Restored,8,6-11 years,2,17.0,0,0.0,40,5,75,42.2
RWBL,Burr Oak Lake,BURR2,A,Year2,35,Restored,8,6-11 years,2,17.0,0,0.0,40,5,75,42.2
RWBL,Burr Oak Lake,BURR2,B,Year2,16,Restored,8,6-11 years,1,15.6,0,0.0,30,31,79,42.2
RWBL,Burr Oak Lake,BURR2,B,Year2,80,Restored,8,6-11 years,1,15.6,0,0.0,30,31,79,42.2
RWBL,Burr Oak Lake,BURR3,A,Year1,10,Restored,7,6-11 years,2,21.5,0,0.8,60,17,10,42.2
RWBL,Burr Oak Lake,BURR3,A,Year1,70,Restored,7,6-11 years,2,21.5,0,0.8,60,17,10,42.2
RWBL,Burr Oak Lake,BURR3,A,Year1,45,Restored,7,6-11 years,2,21.5,0,0.8,60,17,10,42.2
RWBL,Burr Oak Lake,BURR3,B,Year1,43,Restored,7,6-11 years,2,19.6,3,0.0,55,35,10,42.2
RWBL,Burr Oak Lake,BURR3,B,Year1,40,Restored,7,6-11 years,2,19.6,3,0.0,55,35,10,42.2
RWBL,Burr Oak Lake,BURR3,A,Year2,29,Restored,8,6-11 years,2,18.0,0,0.0,75,5,-13,42.2
RWBL,Burr Oak Lake,BURR3,A,Year2,27,Restored,8,6-11 years,2,18.0,0,0.0,75,5,-13,42.2
RWBL,Burr Oak Lake,BURR3,B,Year2,150,Restored,8,6-11 years,1,17.3,0,0.0,50,31,-10,42.2
RWBL,Burr Oak Lake,BURR3,B,Year2,50,Restored,8,6-11 years,1,17.3,0,0.0,50,31,-10,42.2
RWBL,Burr Oak Lake,BURR3,B,Year2,35,Restored,8,6-11 years,1,17.3,0,0.0,50,31,-10,42.2
RWBL,Burr Oak Lake,BURR3,B,Year2,20,Restored,8,6-11 years,1,17.3,0,0.0,50,31,-10,42.2
RWBL,D.U. Marsh,DU1,A,Year1,43,Restored,5,1-5 years,1,12.9,0,0.0,0,21,-29,35.1
RWBL,D.U. Marsh,DU1,A,Year1,118,Restored,5,1-5 years,1,12.9,0,0.0,0,21,-29,35.1
RWBL,D.U. Marsh,DU1,B,Year1,9,Restored,5,1-5 years,1,18.8,1,0.0,0,36,80,35.1
RWBL,D.U. Marsh,DU1,B,Year1,54,Restored,5,1-5 years,1,18.8,1,0.0,0,36,80,35.1
RWBL,D.U. Marsh,DU1,A,Year2,61,Restored,6,6-11 years,1,15.5,0,3.5,0,5,-27,35.1
RWBL,D.U. Marsh,DU1,A,Year2,22,Restored,6,6-11 years,1,15.5,0,3.5,0,5,-27,35.1
RWBL,D.U. Marsh,DU1,A,Year2,104,Restored,6,6-11 years,1,15.5,0,3.5,0,5,-27,35.1
RWBL,D.U. Marsh,DU1,B,Year2,42,Restored,6,6-11 years,2,13.3,1,0.0,0,31,76,35.1
RWBL,D.U. Marsh,DU1,B,Year2,42,Restored,6,6-11 years,2,13.3,1,0.0,0,31,76,35.1
RWBL,D.U. Marsh,DU1,B,Year2,58,Restored,6,6-11 years,2,13.3,1,0.0,0,31,76,35.1
RWBL,D.U. Marsh,DU1,B,Year2,18,Restored,6,6-11 years,2,13.3,1,0.0,0,31,76,35.1
RWBL,D.U. Marsh,DU2,A,Year1,9,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,150,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,16,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,112,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,45,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,11,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,A,Year1,101,Restored,5,1-5 years,1,20.6,0,3.1,25,21,261,35.1
RWBL,D.U. Marsh,DU2,B,Year1,94,Restored,5,1-5 years,1,19.0,1,4.7,20,36,188,35.1
RWBL,D.U. Marsh,DU2,B,Year1,12,Restored,5,1-5 years,1,19.0,1,4.7,20,36,188,35.1
RWBL,D.U. Marsh,DU2,B,Year1,147,Restored,5,1-5 years,1,19.0,1,4.7,20,36,188,35.1
RWBL,D.U. Marsh,DU2,B,Year1,128,Restored,5,1-5 years,1,19.0,1,4.7,20,36,188,35.1
RWBL,D.U. Marsh,DU2,B,Year1,10,Restored,5,1-5 years,1,19.0,1,4.7,20,36,188,35.1
RWBL,D.U. Marsh,DU2,A,Year2,37,Restored,6,6-11 years,1,21.0,0,8.3,20,5,282,35.1
RWBL,D.U. Marsh,DU2,A,Year2,80,Restored,6,6-11 years,1,21.0,0,8.3,20,5,282,35.1
RWBL,D.U. Marsh,DU2,A,Year2,41,Restored,6,6-11 years,1,21.0,0,8.3,20,5,282,35.1
RWBL,D.U. Marsh,DU2,A,Year2,33,Restored,6,6-11 years,1,21.0,0,8.3,20,5,282,35.1
RWBL,D.U. Marsh,DU2,B,Year2,11,Restored,6,6-11 years,2,15.4,1,0.0,50,31,173,35.1
RWBL,D.U. Marsh,DU2,B,Year2,31,Restored,6,6-11 years,2,15.4,1,0.0,50,31,173,35.1
RWBL,D.U. Marsh,DU2,B,Year2,13,Restored,6,6-11 years,2,15.4,1,0.0,50,31,173,35.1
RWBL,D.U. Marsh,DU2,B,Year2,18,Restored,6,6-11 years,2,15.4,1,0.0,50,31,173,35.1
RWBL,D.U. Marsh,DU2,B,Year2,208,Restored,6,6-11 years,2,15.4,1,0.0,50,31,173,35.1
RWBL,D.U. Marsh,DU3,A,Year1,NA,Restored,5,1-5 years,1,17.5,0,0.0,90,21,116,35.1
RWBL,D.U. Marsh,DU3,B,Year1,200,Restored,5,1-5 years,1,21.8,2,0.0,90,36,354,35.1
RWBL,D.U. Marsh,DU3,B,Year1,35,Restored,5,1-5 years,1,21.8,2,0.0,90,36,354,35.1
RWBL,D.U. Marsh,DU3,A,Year2,100,Restored,6,6-11 years,1,18.8,0,4.6,70,5,196,35.1
RWBL,D.U. Marsh,DU3,A,Year2,100,Restored,6,6-11 years,1,18.8,0,4.6,70,5,196,35.1
RWBL,D.U. Marsh,DU3,A,Year2,10,Restored,6,6-11 years,1,18.8,0,4.6,70,5,196,35.1
RWBL,D.U. Marsh,DU3,B,Year2,40,Restored,6,6-11 years,2,18.5,0,0.0,85,31,266,35.1
RWBL,D.U. Marsh,DU3,B,Year2,150,Restored,6,6-11 years,2,18.5,0,0.0,85,31,266,35.1
RWBL,D.U. Marsh,DU3,B,Year2,20,Restored,6,6-11 years,2,18.5,0,0.0,85,31,266,35.1
RWBL,D.U. Marsh,DU3,B,Year2,50,Restored,6,6-11 years,2,18.5,0,0.0,85,31,266,35.1
RWBL,D.U. Marsh,DU4,A,Year1,68,Restored,5,1-5 years,1,24.0,0,0.0,85,21,375,35.1
RWBL,D.U. Marsh,DU4,B,Year1,60,Restored,5,1-5 years,1,21.0,2,0.0,85,36,-14,35.1
RWBL,D.U. Marsh,DU4,B,Year1,72,Restored,5,1-5 years,1,21.0,2,0.0,85,36,-14,35.1
RWBL,D.U. Marsh,DU4,A,Year2,35,Restored,6,6-11 years,1,16.0,0,2.3,75,5,65,35.1
RWBL,D.U. Marsh,DU4,A,Year2,20,Restored,6,6-11 years,1,16.0,0,2.3,75,5,65,35.1
RWBL,D.U. Marsh,DU4,A,Year2,14,Restored,6,6-11 years,1,16.0,0,2.3,75,5,65,35.1
RWBL,D.U. Marsh,DU4,B,Year2,13,Restored,6,6-11 years,2,16.9,1,0.0,90,31,6,35.1
RWBL,D.U. Marsh,DU4,B,Year2,9,Restored,6,6-11 years,2,16.9,1,0.0,90,31,6,35.1
RWBL,D.U. Marsh,DU4,B,Year2,100,Restored,6,6-11 years,2,16.9,1,0.0,90,31,6,35.1
RWBL,Dan Green Slough,DG1,A,Year1,69,Restored,8,6-11 years,1,26.5,2,2.8,40,18,361,120.4
RWBL,Dan Green Slough,DG1,B,Year1,NA,Restored,8,6-11 years,2,17.7,1,3.2,65,44,49,120.4
RWBL,Dan Green Slough,DG1,A,Year2,NA,Restored,9,6-11 years,1,19.9,0,1.2,55,4,83,120.4
RWBL,Dan Green Slough,DG1,B,Year2,30,Restored,9,6-11 years,2,19.3,1,2.0,30,30,111,120.4
RWBL,Dan Green Slough,DG2,A,Year1,16,Restored,8,6-11 years,1,25.3,1,1.5,60,18,284,120.4
RWBL,Dan Green Slough,DG2,A,Year1,16,Restored,8,6-11 years,1,25.3,1,1.5,60,18,284,120.4
RWBL,Dan Green Slough,DG2,A,Year1,16,Restored,8,6-11 years,1,25.3,1,1.5,60,18,284,120.4
RWBL,Dan Green Slough,DG2,B,Year1,30,Restored,8,6-11 years,2,22.8,2,1.5,70,43,170,120.4
RWBL,Dan Green Slough,DG2,A,Year2,NA,Restored,9,6-11 years,1,18.2,0,0.0,40,4,9,120.4
RWBL,Dan Green Slough,DG2,B,Year2,NA,Restored,9,6-11 years,2,19.3,1,0.0,40,30,81,120.4
RWBL,Dan Green Slough,DG3,A,Year1,87,Restored,8,6-11 years,1,24.4,1,0.0,45,18,201,120.4
RWBL,Dan Green Slough,DG3,B,Year1,NA,Restored,8,6-11 years,2,22.7,2,3.4,75,43,90,120.4
RWBL,Dan Green Slough,DG3,A,Year2,NA,Restored,9,6-11 years,1,20.1,0,0.0,45,4,-26,120.4
RWBL,Dan Green Slough,DG3,B,Year2,NA,Restored,9,6-11 years,2,19.6,1,0.0,50,30,8,120.4
RWBL,Dan Green Slough,DG4,A,Year1,131,Restored,8,6-11 years,1,20.9,1,0.0,30,18,83,120.4
RWBL,Dan Green Slough,DG4,B,Year1,NA,Restored,8,6-11 years,2,22.2,0,0.0,90,44,185,120.4
RWBL,Dan Green Slough,DG4,A,Year2,100,Restored,9,6-11 years,1,26.3,0,2.6,80,4,278,120.4
RWBL,Dan Green Slough,DG4,A,Year2,35,Restored,9,6-11 years,1,26.3,0,2.6,80,4,278,120.4
RWBL,Dan Green Slough,DG4,B,Year2,10,Restored,9,6-11 years,2,20.8,1,1.4,20,30,278,120.4
RWBL,Dan Green Slough,DG5,A,Year1,NA,Restored,8,6-11 years,1,20.4,1,0.0,60,18,-7,120.4
RWBL,Dan Green Slough,DG5,B,Year1,NA,Restored,8,6-11 years,2,22.1,0,0.0,85,44,262,120.4
RWBL,Dan Green Slough,DG5,A,Year2,NA,Restored,9,6-11 years,1,23.6,0,2.7,65,4,201,120.4
RWBL,Dan Green Slough,DG5,B,Year2,NA,Restored,9,6-11 years,2,20.4,1,1.5,70,30,207,120.4
RWBL,Diamond Lake,DIAM1,A,Year1,71,Restored,9,6-11 years,2,15.9,0,3.2,35,4,-20,47.7
RWBL,Diamond Lake,DIAM1,B,Year1,60,Restored,9,6-11 years,2,18.2,1,3.4,30,24,104,47.7
RWBL,Diamond Lake,DIAM1,B,Year1,121,Restored,9,6-11 years,2,18.2,1,3.4,30,24,104,47.7
RWBL,Diamond Lake,DIAM1,A,Year2,70,Restored,10,6-11 years,2,21.1,1,0.0,30,15,70,47.7
RWBL,Diamond Lake,DIAM1,A,Year2,5,Restored,10,6-11 years,2,21.1,1,0.0,30,15,70,47.7
RWBL,Diamond Lake,DIAM1,A,Year2,95,Restored,10,6-11 years,2,21.1,1,0.0,30,15,70,47.7
RWBL,Diamond Lake,DIAM1,A,Year2,59,Restored,10,6-11 years,2,21.1,1,0.0,30,15,70,47.7
RWBL,Diamond Lake,DIAM1,B,Year2,187,Restored,10,6-11 years,1,19.9,1,3.5,35,32,4,47.7
RWBL,Diamond Lake,DIAM1,B,Year2,80,Restored,10,6-11 years,1,19.9,1,3.5,35,32,4,47.7
RWBL,Diamond Lake,DIAM1,B,Year2,16,Restored,10,6-11 years,1,19.9,1,3.5,35,32,4,47.7
RWBL,Diamond Lake,DIAM1,B,Year2,81,Restored,10,6-11 years,1,19.9,1,3.5,35,32,4,47.7
RWBL,Diamond Lake,DIAM2,A,Year1,NA,Restored,9,6-11 years,2,17.7,0,3.2,5,4,6,47.7
RWBL,Diamond Lake,DIAM2,B,Year1,NA,Restored,9,6-11 years,2,18.6,0,6.9,0,24,10,47.7
RWBL,Diamond Lake,DIAM2,A,Year2,105,Restored,10,6-11 years,2,22.3,1,3.7,0,15,114,47.7
RWBL,Diamond Lake,DIAM2,A,Year2,133,Restored,10,6-11 years,2,22.3,1,3.7,0,15,114,47.7
RWBL,Diamond Lake,DIAM2,A,Year2,100,Restored,10,6-11 years,2,22.3,1,3.7,0,15,114,47.7
RWBL,Diamond Lake,DIAM2,A,Year2,104,Restored,10,6-11 years,2,22.3,1,3.7,0,15,114,47.7
RWBL,Diamond Lake,DIAM2,B,Year2,138,Restored,10,6-11 years,1,22.5,0,4.3,0,32,94,47.7
RWBL,Diamond Lake,DIAM3,A,Year1,NA,Restored,9,6-11 years,2,15.4,0,3.2,0,4,71,47.7
RWBL,Diamond Lake,DIAM3,B,Year1,NA,Restored,9,6-11 years,2,19.2,1,5.4,0,24,77,47.7
RWBL,Diamond Lake,DIAM3,A,Year2,131,Restored,10,6-11 years,2,23.5,1,4.8,0,15,172,47.7
RWBL,Diamond Lake,DIAM3,B,Year2,190,Restored,10,6-11 years,1,24.4,0,0.0,0,32,156,47.7
RWBL,Diamond Lake,DIAM3,B,Year2,173,Restored,10,6-11 years,1,24.4,0,0.0,0,32,156,47.7
RWBL,Diamond Lake,DIAM4,A,Year1,30,Restored,9,6-11 years,2,20.1,0,3.2,30,4,206,47.7
RWBL,Diamond Lake,DIAM4,A,Year1,19,Restored,9,6-11 years,2,20.1,0,3.2,30,4,206,47.7
RWBL,Diamond Lake,DIAM4,B,Year1,NA,Restored,9,6-11 years,2,21.3,0,1.1,35,24,-22,47.7
RWBL,Diamond Lake,DIAM4,A,Year2,101,Restored,10,6-11 years,2,22.6,1,0.0,20,15,91,47.7
RWBL,Diamond Lake,DIAM4,B,Year2,25,Restored,10,6-11 years,1,20.3,0,3.0,25,32,71,47.7
RWBL,Diamond Lake,DIAM4,B,Year2,26,Restored,10,6-11 years,1,20.3,0,3.0,25,32,71,47.7
RWBL,Diamond Lake,DIAM4,B,Year2,62,Restored,10,6-11 years,1,20.3,0,3.0,25,32,71,47.7
RWBL,Diamond Lake,DIAM4,B,Year2,15,Restored,10,6-11 years,1,20.3,0,3.0,25,32,71,47.7
RWBL,Diamond Lake,DIAM5,A,Year1,41,Restored,9,6-11 years,2,15.4,0,3.2,35,4,159,47.7
RWBL,Diamond Lake,DIAM5,A,Year1,35,Restored,9,6-11 years,2,15.4,0,3.2,35,4,159,47.7
RWBL,Diamond Lake,DIAM5,A,Year1,13,Restored,9,6-11 years,2,15.4,0,3.2,35,4,159,47.7
RWBL,Diamond Lake,DIAM5,A,Year1,13,Restored,9,6-11 years,2,15.4,0,3.2,35,4,159,47.7
RWBL,Diamond Lake,DIAM5,B,Year1,28,Restored,9,6-11 years,2,19.7,1,0.1,50,24,184,47.7
RWBL,Diamond Lake,DIAM5,B,Year1,25,Restored,9,6-11 years,2,19.7,1,0.1,50,24,184,47.7
RWBL,Diamond Lake,DIAM5,B,Year1,40,Restored,9,6-11 years,2,19.7,1,0.1,50,24,184,47.7
RWBL,Diamond Lake,DIAM5,B,Year1,27,Restored,9,6-11 years,2,19.7,1,0.1,50,24,184,47.7
RWBL,Diamond Lake,DIAM5,B,Year1,35,Restored,9,6-11 years,2,19.7,1,0.1,50,24,184,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,15,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,79,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,15,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,64,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,75,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,12,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,A,Year2,25,Restored,10,6-11 years,2,21.9,1,1.2,80,15,203,47.7
RWBL,Diamond Lake,DIAM5,B,Year2,125,Restored,10,6-11 years,1,22.2,0,1.0,70,32,202,47.7
RWBL,Diamond Lake,DIAM5,B,Year2,75,Restored,10,6-11 years,1,22.2,0,1.0,70,32,202,47.7
RWBL,Diamond Lake,DIAM5,B,Year2,7,Restored,10,6-11 years,1,22.2,0,1.0,70,32,202,47.7
RWBL,Diamond Lake,DIAM5,B,Year2,50,Restored,10,6-11 years,1,22.2,0,1.0,70,32,202,47.7
RWBL,Elk Lake,ELK1,A,Year1,NA,Not restored,0,Not restored,1,14.4,0,5.3,0,2,96,110.7
RWBL,Elk Lake,ELK1,B,Year1,NA,Not restored,0,Not restored,1,17.9,0,0.0,0,24,93,110.7
RWBL,Elk Lake,ELK1,A,Year2,NA,Not restored,0,Not restored,2,20.4,0,0.0,0,2,91,110.7
RWBL,Elk Lake,ELK1,B,Year2,NA,Not restored,0,Not restored,1,15.8,1,7.5,0,26,165,110.7
RWBL,Elk Lake,ELK2,A,Year1,NA,Not restored,0,Not restored,1,16.1,0,8.3,0,2,199,110.7
RWBL,Elk Lake,ELK2,B,Year1,NA,Not restored,0,Not restored,1,17.3,1,10.3,0,24,1,110.7
RWBL,Elk Lake,ELK2,A,Year2,NA,Not restored,0,Not restored,2,20.1,0,7.9,0,2,-19,110.7
RWBL,Elk Lake,ELK2,B,Year2,NA,Not restored,0,Not restored,1,14.9,1,5.5,0,26,76,110.7
RWBL,Elk Lake,ELK3,A,Year1,NA,Not restored,0,Not restored,1,14.5,0,4.5,0,2,165,110.7
RWBL,Elk Lake,ELK3,B,Year1,NA,Not restored,0,Not restored,1,17.0,1,4.2,0,24,66,110.7
RWBL,Elk Lake,ELK3,A,Year2,NA,Not restored,0,Not restored,2,20.3,0,6.2,0,2,62,110.7
RWBL,Elk Lake,ELK3,B,Year2,NA,Not restored,0,Not restored,1,16.9,1,7.7,0,26,100,110.7
RWBL,Elk Lake,ELK4,A,Year1,40,Not restored,0,Not restored,1,17.4,1,7.1,10,2,274,110.7
RWBL,Elk Lake,ELK4,B,Year1,19,Not restored,0,Not restored,1,17.1,1,3.8,10,24,-28,110.7
RWBL,Elk Lake,ELK4,A,Year2,16,Not restored,0,Not restored,2,21.4,0,9.6,5,2,168,110.7
RWBL,Elk Lake,ELK4,A,Year2,33,Not restored,0,Not restored,2,21.4,0,9.6,5,2,168,110.7
RWBL,Elk Lake,ELK4,A,Year2,15,Not restored,0,Not restored,2,21.4,0,9.6,5,2,168,110.7
RWBL,Elk Lake,ELK4,B,Year2,48,Not restored,0,Not restored,1,16.2,0,10.6,5,26,196,110.7
RWBL,Elk Lake,ELK4,B,Year2,36,Not restored,0,Not restored,1,16.2,0,10.6,5,26,196,110.7
RWBL,Elk Lake,ELK5,A,Year1,84,Not restored,0,Not restored,1,10.9,0,2.0,15,2,-21,110.7
RWBL,Elk Lake,ELK5,A,Year1,14,Not restored,0,Not restored,1,10.9,0,2.0,15,2,-21,110.7
RWBL,Elk Lake,ELK5,A,Year1,94,Not restored,0,Not restored,1,10.9,0,2.0,15,2,-21,110.7
RWBL,Elk Lake,ELK5,B,Year1,90,Not restored,0,Not restored,1,18.5,1,4.4,15,24,211,110.7
RWBL,Elk Lake,ELK5,B,Year1,12,Not restored,0,Not restored,1,18.5,1,4.4,15,24,211,110.7
RWBL,Elk Lake,ELK5,B,Year1,29,Not restored,0,Not restored,1,18.5,1,4.4,15,24,211,110.7
RWBL,Elk Lake,ELK5,A,Year2,102,Not restored,0,Not restored,2,24.2,0,4.9,20,2,262,110.7
RWBL,Elk Lake,ELK5,A,Year2,105,Not restored,0,Not restored,2,24.2,0,4.9,20,2,262,110.7
