Species,Site,Point,Visit,Year,Distance,Status,Age,RestorationState,Observer,Temp,CloudCover,WindSpeed,PointCattail,CallNum,JulianDay,TimeAfterSunrise,Area
PBGR,Big Wall Lake,BW4,B,Year1,63,Restored,10,6-11 years,1,19.9,0,1.3,60,1,28,111,350.1
PBGR,Big Wall Lake,BW4,B,Year1,52,Restored,10,6-11 years,1,19.9,0,1.3,60,1,28,111,350.1
PBGR,Big Wall Lake,BW4,A,Year2,40,Restored,11,6-11 years,1,21.6,1,1.9,60,1,17,18,350.1
PBGR,Big Wall Lake,BW4,A,Year2,15,Restored,11,6-11 years,1,21.6,1,1.9,60,1,17,18,350.1
PBGR,Big Wall Lake,BW4,A,Year2,25,Restored,11,6-11 years,1,21.6,1,1.9,60,1,17,18,350.1
PBGR,Big Wall Lake,BW4,A,Year2,65,Restored,11,6-11 years,1,21.6,1,1.9,60,1,17,18,350.1
PBGR,Big Wall Lake,BW4,B,Year2,300,Restored,11,6-11 years,2,27.2,1,0.0,70,1,40,198,350.1
PBGR,Big Wall Lake,BW5,A,Year1,101,Restored,10,6-11 years,1,19.3,0,3.1,55,4,5,269,350.1
PBGR,Big Wall Lake,BW5,B,Year1,NA,Restored,10,6-11 years,1,19,0,0.0,55,NA,28,70,350.1
PBGR,Big Wall Lake,BW5,A,Year2,122,Restored,11,6-11 years,1,21.2,1,2.4,50,1,17,97,350.1
PBGR,Big Wall Lake,BW5,A,Year2,144,Restored,11,6-11 years,1,21.2,1,2.4,50,1,17,97,350.1
PBGR,Big Wall Lake,BW5,B,Year2,150,Restored,11,6-11 years,2,28.2,1,1.3,50,1,40,276,350.1
PBGR,Big Wall Lake,BW5,B,Year2,35,Restored,11,6-11 years,2,28.2,1,1.3,50,1,40,276,350.1
PBGR,Big Wall Lake,BW5,B,Year2,200,Restored,11,6-11 years,2,28.2,1,1.3,50,2,40,276,350.1
PBGR,Burr Oak Lake,BURR1,A,Year1,40,Restored,7,6-11 years,2,26.9,0,2.5,70,1,17,189,42.2
PBGR,Burr Oak Lake,BURR1,A,Year1,45,Restored,7,6-11 years,2,26.9,0,2.5,70,1,17,189,42.2
PBGR,Burr Oak Lake,BURR1,A,Year1,65,Restored,7,6-11 years,2,26.9,0,2.5,70,3,17,189,42.2
PBGR,Burr Oak Lake,BURR1,B,Year1,14,Restored,7,6-11 years,2,20.8,1,0.0,60,4,31,309,42.2
PBGR,Burr Oak Lake,BURR1,B,Year1,13,Restored,7,6-11 years,2,20.8,1,0.0,60,1,31,309,42.2
PBGR,Burr Oak Lake,BURR1,B,Year1,19,Restored,7,6-11 years,2,20.8,1,0.0,60,1,31,309,42.2
PBGR,Burr Oak Lake,BURR1,B,Year1,27,Restored,7,6-11 years,2,20.8,1,0.0,60,3,31,309,42.2
PBGR,Burr Oak Lake,BURR1,A,Year2,50,Restored,8,6-11 years,2,17.8,0,0.0,40,1,5,170,42.2
PBGR,Burr Oak Lake,BURR1,A,Year2,100,Restored,8,6-11 years,2,17.8,0,0.0,40,1,5,170,42.2
PBGR,Burr Oak Lake,BURR1,A,Year2,75,Restored,8,6-11 years,2,17.8,0,0.0,40,1,5,170,42.2
PBGR,Burr Oak Lake,BURR1,B,Year2,70,Restored,8,6-11 years,1,15.5,0,2.5,25,1,31,166,42.2
PBGR,Burr Oak Lake,BURR1,B,Year2,60,Restored,8,6-11 years,1,15.5,0,2.5,25,2,31,166,42.2
PBGR,Burr Oak Lake,BURR1,B,Year2,40,Restored,8,6-11 years,1,15.5,0,2.5,25,1,31,166,42.2
PBGR,Burr Oak Lake,BURR1,B,Year2,200,Restored,8,6-11 years,1,15.5,0,2.5,25,1,31,166,42.2
PBGR,Burr Oak Lake,BURR2,A,Year1,NA,Restored,7,6-11 years,2,20.7,0,2.1,70,NA,17,106,42.2
PBGR,Burr Oak Lake,BURR2,B,Year1,200,Restored,7,6-11 years,2,18.2,1,2.3,50,1,31,277,42.2
PBGR,Burr Oak Lake,BURR2,A,Year2,NA,Restored,8,6-11 years,2,17,0,0.0,40,NA,5,75,42.2
PBGR,Burr Oak Lake,BURR2,B,Year2,65,Restored,8,6-11 years,1,15.6,0,0.0,30,1,31,79,42.2
PBGR,Burr Oak Lake,BURR3,A,Year1,180,Restored,7,6-11 years,2,21.5,0,0.8,60,1,17,10,42.2
PBGR,Burr Oak Lake,BURR3,A,Year1,55,Restored,7,6-11 years,2,21.5,0,0.8,60,3,17,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,100,Restored,7,6-11 years,2,19.6,3,0.0,55,2,35,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,21,Restored,7,6-11 years,2,19.6,3,0.0,55,3,35,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,19,Restored,7,6-11 years,2,19.6,3,0.0,55,3,35,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,80,Restored,7,6-11 years,2,19.6,3,0.0,55,2,35,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,50,Restored,7,6-11 years,2,19.6,3,0.0,55,1,35,10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year1,50,Restored,7,6-11 years,2,19.6,3,0.0,55,2,35,10,42.2
PBGR,Burr Oak Lake,BURR3,A,Year2,40,Restored,8,6-11 years,2,18,0,0.0,75,1,5,-13,42.2
PBGR,Burr Oak Lake,BURR3,A,Year2,300,Restored,8,6-11 years,2,18,0,0.0,75,1,5,-13,42.2
PBGR,Burr Oak Lake,BURR3,A,Year2,300,Restored,8,6-11 years,2,18,0,0.0,75,2,5,-13,42.2
PBGR,Burr Oak Lake,BURR3,A,Year2,250,Restored,8,6-11 years,2,18,0,0.0,75,1,5,-13,42.2
PBGR,Burr Oak Lake,BURR3,B,Year2,150,Restored,8,6-11 years,1,17.3,0,0.0,50,4,31,-10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year2,60,Restored,8,6-11 years,1,17.3,0,0.0,50,2,31,-10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year2,125,Restored,8,6-11 years,1,17.3,0,0.0,50,1,31,-10,42.2
PBGR,Burr Oak Lake,BURR3,B,Year2,100,Restored,8,6-11 years,1,17.3,0,0.0,50,1,31,-10,42.2
PBGR,D.U. Marsh,DU1,A,Year1,275,Restored,5,1-5 years,1,12.9,0,0.0,0,1,21,-29,35.1
PBGR,D.U. Marsh,DU1,B,Year1,NA,Restored,5,1-5 years,1,18.8,1,0.0,0,NA,36,80,35.1
PBGR,D.U. Marsh,DU1,A,Year2,NA,Restored,6,6-11 years,1,15.5,0,3.5,0,NA,5,-27,35.1
PBGR,D.U. Marsh,DU1,B,Year2,NA,Restored,6,6-11 years,2,13.3,1,0.0,0,NA,31,76,35.1
PBGR,D.U. Marsh,DU2,A,Year1,NA,Restored,5,1-5 years,1,20.6,0,3.1,25,NA,21,261,35.1
PBGR,D.U. Marsh,DU2,B,Year1,NA,Restored,5,1-5 years,1,19,1,4.7,20,NA,36,188,35.1
PBGR,D.U. Marsh,DU2,A,Year2,NA,Restored,6,6-11 years,1,21,0,8.3,20,NA,5,282,35.1
PBGR,D.U. Marsh,DU2,B,Year2,NA,Restored,6,6-11 years,2,15.4,1,0.0,50,NA,31,173,35.1
PBGR,D.U. Marsh,DU3,A,Year1,NA,Restored,5,1-5 years,1,17.5,0,0.0,90,NA,21,116,35.1
PBGR,D.U. Marsh,DU3,B,Year1,NA,Restored,5,1-5 years,1,21.8,2,0.0,90,NA,36,354,35.1
PBGR,D.U. Marsh,DU3,A,Year2,150,Restored,6,6-11 years,1,18.8,0,4.6,70,1,5,196,35.1
PBGR,D.U. Marsh,DU3,B,Year2,NA,Restored,6,6-11 years,2,18.5,0,0.0,85,NA,31,266,35.1
PBGR,D.U. Marsh,DU4,A,Year1,85,Restored,5,1-5 years,1,24,0,0.0,85,1,21,375,35.1
PBGR,D.U. Marsh,DU4,A,Year1,74,Restored,5,1-5 years,1,24,0,0.0,85,1,21,375,35.1
PBGR,D.U. Marsh,DU4,B,Year1,42,Restored,5,1-5 years,1,21,2,0.0,85,1,36,-14,35.1
PBGR,D.U. Marsh,DU4,B,Year1,70,Restored,5,1-5 years,1,21,2,0.0,85,1,36,-14,35.1
PBGR,D.U. Marsh,DU4,A,Year2,NA,Restored,6,6-11 years,1,16,0,2.3,75,NA,5,65,35.1
PBGR,D.U. Marsh,DU4,B,Year2,NA,Restored,6,6-11 years,2,16.9,1,0.0,90,NA,31,6,35.1
PBGR,Dan Green Slough,DG1,A,Year1,26,Restored,8,6-11 years,1,26.5,2,2.8,40,4,18,361,120.4
PBGR,Dan Green Slough,DG1,B,Year1,25,Restored,8,6-11 years,2,17.7,1,3.2,65,4,44,49,120.4
PBGR,Dan Green Slough,DG1,A,Year2,52,Restored,9,6-11 years,1,19.9,0,1.2,55,2,4,83,120.4
PBGR,Dan Green Slough,DG1,A,Year2,27,Restored,9,6-11 years,1,19.9,0,1.2,55,1,4,83,120.4
PBGR,Dan Green Slough,DG1,A,Year2,196,Restored,9,6-11 years,1,19.9,0,1.2,55,1,4,83,120.4
PBGR,Dan Green Slough,DG1,A,Year2,70,Restored,9,6-11 years,1,19.9,0,1.2,55,1,4,83,120.4
PBGR,Dan Green Slough,DG1,B,Year2,200,Restored,9,6-11 years,2,19.3,1,2.0,30,1,30,111,120.4
PBGR,Dan Green Slough,DG2,A,Year1,75,Restored,8,6-11 years,1,25.3,1,1.5,60,4,18,284,120.4
PBGR,Dan Green Slough,DG2,A,Year1,139,Restored,8,6-11 years,1,25.3,1,1.5,60,4,18,284,120.4
PBGR,Dan Green Slough,DG2,A,Year1,293,Restored,8,6-11 years,1,25.3,1,1.5,60,4,18,284,120.4
PBGR,Dan Green Slough,DG2,A,Year1,115,Restored,8,6-11 years,1,25.3,1,1.5,60,4,18,284,120.4
PBGR,Dan Green Slough,DG2,A,Year1,57,Restored,8,6-11 years,1,25.3,1,1.5,60,4,18,284,120.4
PBGR,Dan Green Slough,DG2,B,Year1,25,Restored,8,6-11 years,2,22.8,2,1.5,70,4,43,170,120.4
PBGR,Dan Green Slough,DG2,B,Year1,24,Restored,8,6-11 years,2,22.8,2,1.5,70,4,43,170,120.4
PBGR,Dan Green Slough,DG2,B,Year1,26,Restored,8,6-11 years,2,22.8,2,1.5,70,2,43,170,120.4
PBGR,Dan Green Slough,DG2,B,Year1,21,Restored,8,6-11 years,2,22.8,2,1.5,70,2,43,170,120.4
PBGR,Dan Green Slough,DG2,A,Year2,38,Restored,9,6-11 years,1,18.2,0,0.0,40,1,4,9,120.4
PBGR,Dan Green Slough,DG2,A,Year2,39,Restored,9,6-11 years,1,18.2,0,0.0,40,1,4,9,120.4
PBGR,Dan Green Slough,DG2,A,Year2,35,Restored,9,6-11 years,1,18.2,0,0.0,40,1,4,9,120.4
PBGR,Dan Green Slough,DG2,A,Year2,60,Restored,9,6-11 years,1,18.2,0,0.0,40,1,4,9,120.4
PBGR,Dan Green Slough,DG2,B,Year2,50,Restored,9,6-11 years,2,19.3,1,0.0,40,2,30,81,120.4
PBGR,Dan Green Slough,DG2,B,Year2,75,Restored,9,6-11 years,2,19.3,1,0.0,40,1,30,81,120.4
PBGR,Dan Green Slough,DG2,B,Year2,28,Restored,9,6-11 years,2,19.3,1,0.0,40,2,30,81,120.4
PBGR,Dan Green Slough,DG2,B,Year2,200,Restored,9,6-11 years,2,19.3,1,0.0,40,1,30,81,120.4
PBGR,Dan Green Slough,DG2,B,Year2,100,Restored,9,6-11 years,2,19.3,1,0.0,40,1,30,81,120.4
PBGR,Dan Green Slough,DG3,A,Year1,35,Restored,8,6-11 years,1,24.4,1,0.0,45,1,18,201,120.4
PBGR,Dan Green Slough,DG3,A,Year1,70,Restored,8,6-11 years,1,24.4,1,0.0,45,1,18,201,120.4
PBGR,Dan Green Slough,DG3,A,Year1,130,Restored,8,6-11 years,1,24.4,1,0.0,45,4,18,201,120.4
PBGR,Dan Green Slough,DG3,B,Year1,20,Restored,8,6-11 years,2,22.7,2,3.4,75,4,43,90,120.4
PBGR,Dan Green Slough,DG3,A,Year2,150,Restored,9,6-11 years,1,20.1,0,0.0,45,1,4,-26,120.4
PBGR,Dan Green Slough,DG3,A,Year2,75,Restored,9,6-11 years,1,20.1,0,0.0,45,1,4,-26,120.4
PBGR,Dan Green Slough,DG3,A,Year2,40,Restored,9,6-11 years,1,20.1,0,0.0,45,1,4,-26,120.4
PBGR,Dan Green Slough,DG3,A,Year2,50,Restored,9,6-11 years,1,20.1,0,0.0,45,1,4,-26,120.4
PBGR,Dan Green Slough,DG3,B,Year2,150,Restored,9,6-11 years,2,19.6,1,0.0,50,1,30,8,120.4
PBGR,Dan Green Slough,DG3,B,Year2,45,Restored,9,6-11 years,2,19.6,1,0.0,50,1,30,8,120.4
PBGR,Dan Green Slough,DG3,B,Year2,50,Restored,9,6-11 years,2,19.6,1,0.0,50,1,30,8,120.4
PBGR,Dan Green Slough,DG3,B,Year2,75,Restored,9,6-11 years,2,19.6,1,0.0,50,1,30,8,120.4
PBGR,Dan Green Slough,DG4,A,Year1,100,Restored,8,6-11 years,1,20.9,1,0.0,30,1,18,83,120.4
PBGR,Dan Green Slough,DG4,B,Year1,20,Restored,8,6-11 years,2,22.2,0,0.0,90,2,44,185,120.4
PBGR,Dan Green Slough,DG4,A,Year2,125,Restored,9,6-11 years,1,26.3,0,2.6,80,1,4,278,120.4
PBGR,Dan Green Slough,DG4,A,Year2,40,Restored,9,6-11 years,1,26.3,0,2.6,80,1,4,278,120.4
PBGR,Dan Green Slough,DG4,B,Year2,200,Restored,9,6-11 years,2,20.8,1,1.4,20,1,30,278,120.4
PBGR,Dan Green Slough,DG4,B,Year2,15,Restored,9,6-11 years,2,20.8,1,1.4,20,1,30,278,120.4
PBGR,Dan Green Slough,DG4,B,Year2,100,Restored,9,6-11 years,2,20.8,1,1.4,20,2,30,278,120.4
PBGR,Dan Green Slough,DG5,A,Year1,97,Restored,8,6-11 years,1,20.4,1,0.0,60,4,18,-7,120.4
PBGR,Dan Green Slough,DG5,A,Year1,83,Restored,8,6-11 years,1,20.4,1,0.0,60,4,18,-7,120.4
PBGR,Dan Green Slough,DG5,A,Year1,48,Restored,8,6-11 years,1,20.4,1,0.0,60,4,18,-7,120.4
PBGR,Dan Green Slough,DG5,A,Year1,115,Restored,8,6-11 years,1,20.4,1,0.0,60,4,18,-7,120.4
PBGR,Dan Green Slough,DG5,B,Year1,25,Restored,8,6-11 years,2,22.1,0,0.0,85,2,44,262,120.4
PBGR,Dan Green Slough,DG5,B,Year1,24,Restored,8,6-11 years,2,22.1,0,0.0,85,2,44,262,120.4
PBGR,Dan Green Slough,DG5,A,Year2,200,Restored,9,6-11 years,1,23.6,0,2.7,65,1,4,201,120.4
PBGR,Dan Green Slough,DG5,A,Year2,40,Restored,9,6-11 years,1,23.6,0,2.7,65,1,4,201,120.4
PBGR,Dan Green Slough,DG5,A,Year2,60,Restored,9,6-11 years,1,23.6,0,2.7,65,1,4,201,120.4
PBGR,Dan Green Slough,DG5,B,Year2,45,Restored,9,6-11 years,2,20.4,1,1.5,70,1,30,207,120.4
PBGR,Dan Green Slough,DG5,B,Year2,150,Restored,9,6-11 years,2,20.4,1,1.5,70,1,30,207,120.4
PBGR,Diamond Lake,DIAM1,A,Year1,NA,Restored,9,6-11 years,2,15.9,0,3.1,35,NA,4,-20,47.7
PBGR,Diamond Lake,DIAM1,B,Year1,NA,Restored,9,6-11 years,2,18.2,1,3.4,30,NA,24,104,47.7
PBGR,Diamond Lake,DIAM1,A,Year2,NA,Restored,10,6-11 years,2,21.1,1,0.0,30,NA,15,70,47.7
PBGR,Diamond Lake,DIAM1,B,Year2,NA,Restored,10,6-11 years,1,19.9,1,3.5,35,NA,32,4,47.7
PBGR,Diamond Lake,DIAM2,A,Year1,NA,Restored,9,6-11 years,2,17.7,0,3.1,5,NA,4,6,47.7
PBGR,Diamond Lake,DIAM2,B,Year1,NA,Restored,9,6-11 years,2,18.6,0,6.9,0,NA,24,10,47.7
PBGR,Diamond Lake,DIAM2,A,Year2,NA,Restored,10,6-11 years,2,22.3,1,3.7,0,NA,15,114,47.7
PBGR,Diamond Lake,DIAM2,B,Year2,NA,Restored,10,6-11 years,1,22.5,0,4.3,0,NA,32,94,47.7
PBGR,Diamond Lake,DIAM3,A,Year1,NA,Restored,9,6-11 years,2,15.4,0,3.1,0,NA,4,71,47.7
PBGR,Diamond Lake,DIAM3,B,Year1,NA,Restored,9,6-11 years,2,19.2,1,5.4,0,NA,24,77,47.7
PBGR,Diamond Lake,DIAM3,A,Year2,NA,Restored,10,6-11 years,2,23.5,1,4.8,0,NA,15,172,47.7
PBGR,Diamond Lake,DIAM3,B,Year2,NA,Restored,10,6-11 years,1,24.4,0,0.0,0,NA,32,156,47.7
PBGR,Diamond Lake,DIAM4,A,Year1,NA,Restored,9,6-11 years,2,20.1,0,3.1,30,NA,4,206,47.7
PBGR,Diamond Lake,DIAM4,B,Year1,NA,Restored,9,6-11 years,2,21.3,0,1.1,35,NA,24,-22,47.7
PBGR,Diamond Lake,DIAM4,A,Year2,NA,Restored,10,6-11 years,2,22.6,1,0.0,20,NA,15,91,47.7
PBGR,Diamond Lake,DIAM4,B,Year2,NA,Restored,10,6-11 years,1,20.3,0,3.0,25,NA,32,71,47.7
PBGR,Diamond Lake,DIAM5,A,Year1,NA,Restored,9,6-11 years,2,15.4,0,3.1,35,NA,4,159,47.7
PBGR,Diamond Lake,DIAM5,B,Year1,NA,Restored,9,6-11 years,2,19.7,1,0.1,50,NA,24,184,47.7
PBGR,Diamond Lake,DIAM5,A,Year2,NA,Restored,10,6-11 years,2,21.9,1,1.2,80,NA,15,203,47.7
PBGR,Diamond Lake,DIAM5,B,Year2,NA,Restored,10,6-11 years,1,22.2,0,1.0,70,NA,32,202,47.7
PBGR,Elk Lake,ELK1,A,Year1,NA,Not restored,0,Not restored,1,14.4,0,5.3,0,NA,2,96,110.7
PBGR,Elk Lake,ELK1,B,Year1,NA,Not restored,0,Not restored,1,17.9,0,0.0,0,NA,24,93,110.7
PBGR,Elk Lake,ELK1,A,Year2,NA,Not restored,0,Not restored,2,20.4,0,0.0,0,NA,2,91,110.7
PBGR,Elk Lake,ELK1,B,Year2,NA,Not restored,0,Not restored,1,15.8,1,7.5,0,NA,26,165,110.7
PBGR,Elk Lake,ELK2,A,Year1,NA,Not restored,0,Not restored,1,16.1,0,8.3,0,NA,2,199,110.7
PBGR,Elk Lake,ELK2,B,Year1,NA,Not restored,0,Not restored,1,17.3,1,10.3,0,NA,24,1,110.7
PBGR,Elk Lake,ELK2,A,Year2,NA,Not restored,0,Not restored,2,20.1,0,7.9,0,NA,2,-19,110.7
PBGR,Elk Lake,ELK2,B,Year2,NA,Not restored,0,Not restored,1,14.9,1,5.5,0,NA,26,76,110.7
PBGR,Elk Lake,ELK3,A,Year1,NA,Not restored,0,Not restored,1,14.5,0,4.5,0,NA,2,165,110.7
PBGR,Elk Lake,ELK3,B,Year1,NA,Not restored,0,Not restored,1,17,1,4.2,0,NA,24,66,110.7
PBGR,Elk Lake,ELK3,A,Year2,NA,Not restored,0,Not restored,2,20.3,0,6.2,0,NA,2,62,110.7
PBGR,Elk Lake,ELK3,B,Year2,NA,Not restored,0,Not restored,1,16.9,1,7.7,0,NA,26,100,110.7
PBGR,Elk Lake,ELK4,A,Year1,NA,Not restored,0,Not restored,1,17.4,1,7.1,10,NA,2,274,110.7
PBGR,Elk Lake,ELK4,B,Year1,NA,Not restored,0,Not restored,1,17.1,1,3.8,10,NA,24,-28,110.7
PBGR,Elk Lake,ELK4,A,Year2,NA,Not restored,0,Not restored,2,21.4,0,9.6,5,NA,2,168,110.7
PBGR,Elk Lake,ELK4,B,Year2,NA,Not restored,0,Not restored,1,16.2,0,10.6,5,NA,26,196,110.7
PBGR,Elk Lake,ELK5,A,Year1,NA,Not restored,0,Not restored,1,10.9,0,2.0,15,NA,2,-21,110.7
PBGR,Elk Lake,ELK5,B,Year1,NA,Not restored,0,Not restored,1,18.5,1,4.4,15,NA,24,211,110.7
PBGR,Elk Lake,ELK5,A,Year2,NA,Not restored,0,Not restored,2,24.2,0,4.9,20,NA,2,262,110.7
PBGR,Elk Lake,ELK5,B,Year2,NA,Not restored,0,Not restored,1,13,1,3.0,20,NA,26,-18,110.7
PBGR,Elm Lake,ELM1,A,Year1,NA,Not restored,0,Not restored,1,19.5,0,10.0,30,NA,6,204,175.4
PBGR,Elm Lake,ELM1,B,Year1,NA,Not restored,0,Not restored,1,22,1,2.1,30,NA,27,-10,175.4
PBGR,Elm Lake,ELM1,A,Year2,NA,Not restored,0,Not restored,1,15,1,9.0,20,NA,20,2,175.4
PBGR,Elm Lake,ELM1,B,Year2,NA,Not Restored,0,Not restored,2,28.2,1,10.8,0,NA,42,271,175.4
PBGR,Elm Lake,ELM2,A,Year1,NA,Not restored,0,Not restored,1,16.9,0,4.0,0,NA,6,69,175.4
PBGR,Elm Lake,ELM2,B,Year1,NA,Not restored,0,Not restored,1,20.5,0,2.8,0,NA,27,114,175.4
PBGR,Elm Lake,ELM2,A,Year2,NA,Not restored,0,Not restored,1,21,1,9.0,0,NA,20,164,175.4
PBGR,Elm Lake,ELM2,B,Year2,NA,Not Restored,0,Not restored,2,25.8,1,3.5,0,NA,42,160,175.4
PBGR,Elm Lake,ELM3,A,Year1,NA,Not restored,0,Not restored,1,16.6,0,7.3,0,NA,6,-5,175.4
PBGR,Elm Lake,ELM3,B,Year1,NA,Not restored,0,Not restored,1,24.3,0,3.6,0,NA,27,-19,175.4
PBGR,Elm Lake,ELM3,A,Year2,NA,Not restored,0,Not restored,1,13,1,9.4,0,NA,20,-34,175.4
PBGR,Elm Lake,ELM3,B,Year2,NA,Not Restored,0,Not restored,2,25.3,1,5.5,0,NA,42,97,175.4
PBGR,Elm Lake,ELM4,A,Year1,NA,Not restored,0,Not restored,1,17,0,3.0,0,NA,6,102,175.4
PBGR,Elm Lake,ELM4,B,Year1,NA,Not restored,0,Not restored,1,20,0,3.8,0,NA,27,85,175.4
PBGR,Elm Lake,ELM4,A,Year2,NA,Not restored,0,Not restored,1,17.2,1,5.1,0,NA,20,99,175.4
PBGR,Elm Lake,ELM4,B,Year2,NA,Not Restored,0,Not restored,2,27.2,1,2.2,0,NA,42,183,175.4
PBGR,Elm Lake,ELM5,A,Year1,NA,Not restored,0,Not restored,1,17.9,0,7.8,0,NA,6,176,175.4
PBGR,Elm Lake,ELM5,B,Year1,NA,Not restored,0,Not restored,1,20.4,0,9.0,0,NA,27,58,175.4
PBGR,Elm Lake,ELM5,A,Year2,NA,Not restored,0,Not restored,1,16,1,13.3,0,NA,20,71,175.4
PBGR,Elm Lake,ELM5,B,Year2,NA,Not Restored,0,Not restored,2,27.5,1,5.8,0,NA,42,208,175.4
PBGR,Four Mile Lake,4M1,A,Year1,NA,Restored,9,6-11 years,1,17.6,2,4.6,50,NA,23,-32,82.6
PBGR,Four Mile Lake,4M1,B,Year1,NA,Restored,9,6-11 years,1,22.9,1,2.9,50,NA,42,358,82.6
PBGR,Four Mile Lake,4M1,A,Year2,300,Restored,10,6-11 years,1,15.6,1,3.0,45,1,7,-25,82.6
PBGR,Four Mile Lake,4M1,B,Year2,NA,Restored,10,6-11 years,2,15.3,1,4.8,60,NA,20,11,82.6
PBGR,Four Mile Lake,4M2,A,Year1,NA,Restored,9,6-11 years,1,19.1,0,4.8,100,NA,23,318,82.6
